,Area,Study Year,Level,Mode,Country,Academic Year,Female,Male,Not known,Other,Total
53,"Agriculture, food and related studies",All,All,Part-time,Scotland,2018/19,415.0,295.0,,0.0,710.0
54,"Agriculture, food and related studies",All,All,Part-time,Scotland,2019/20,350.0,260.0,,0.0,610.0
55,"Agriculture, food and related studies",All,All,Part-time,Scotland,2020/21,415.0,285.0,0.0,5.0,705.0
56,"Agriculture, food and related studies",All,All,Part-time,Wales,2017/18,165.0,155.0,,0.0,320.0
57,"Agriculture, food and related studies",All,All,Part-time,Wales,2018/19,150.0,110.0,,0.0,260.0
58,"Agriculture, food and related studies",All,All,Part-time,Wales,2019/20,165.0,105.0,,0.0,270.0
59,"Agriculture, food and related studies",All,All,Part-time,Wales,2020/21,180.0,135.0,0.0,0.0,315.0
60,"Agriculture, food and related studies",All,All postgraduate,All,All,2017/18,2200.0,1440.0,,5.0,3650.0
61,"Agriculture, food and related studies",All,All postgraduate,All,All,2018/19,2275.0,1325.0,,5.0,3605.0
62,"Agriculture, food and related studies",All,All postgraduate,All,All,2019/20,2085.0,1285.0,,5.0,3375.0
63,"Agriculture, food and related studies",All,All postgraduate,All,All,2020/21,2660.0,1595.0,0.0,5.0,4255.0
64,"Agriculture, food and related studies",All,All postgraduate,All,England,2017/18,1425.0,805.0,,5.0,2235.0
65,"Agriculture, food and related studies",All,All postgraduate,All,England,2018/19,1530.0,815.0,,0.0,2345.0
66,"Agriculture, food and related studies",All,All postgraduate,All,England,2019/20,1440.0,860.0,,5.0,2305.0
67,"Agriculture, food and related studies",All,All postgraduate,All,England,2020/21,1935.0,1100.0,0.0,5.0,3035.0
68,"Agriculture, food and related studies",All,All postgraduate,All,Northern Ireland,2017/18,100.0,55.0,,0.0,150.0
69,"Agriculture, food and related studies",All,All postgraduate,All,Northern Ireland,2018/19,95.0,55.0,,0.0,150.0
70,"Agriculture, food and related studies",All,All postgraduate,All,Northern Ireland,2019/20,115.0,50.0,,0.0,165.0
71,"Agriculture, food and related studies",All,All postgraduate,All,Northern Ireland,2020/21,110.0,50.0,0.0,0.0,160.0
72,"Agriculture, food and related studies",All,All postgraduate,All,Scotland,2017/18,530.0,415.0,,0.0,945.0
73,"Agriculture, food and related studies",All,All postgraduate,All,Scotland,2018/19,510.0,340.0,,0.0,855.0
74,"Agriculture, food and related studies",All,All postgraduate,All,Scotland,2019/20,360.0,240.0,,0.0,595.0
75,"Agriculture, food and related studies",All,All postgraduate,All,Scotland,2020/21,400.0,260.0,0.0,0.0,665.0
76,"Agriculture, food and related studies",All,All postgraduate,All,Wales,2017/18,150.0,165.0,,0.0,315.0
77,"Agriculture, food and related studies",All,All postgraduate,All,Wales,2018/19,135.0,115.0,,0.0,250.0
78,"Agriculture, food and related studies",All,All postgraduate,All,Wales,2019/20,175.0,135.0,,0.0,305.0
79,"Agriculture, food and related studies",All,All postgraduate,All,Wales,2020/21,215.0,185.0,0.0,0.0,400.0
80,"Agriculture, food and related studies",All,All postgraduate,Full-time,All,2017/18,1225.0,865.0,,0.0,2090.0
81,"Agriculture, food and related studies",All,All postgraduate,Full-time,All,2018/19,1195.0,810.0,,0.0,2010.0
82,"Agriculture, food and related studies",All,All postgraduate,Full-time,All,2019/20,1055.0,775.0,,0.0,1835.0
83,"Agriculture, food and related studies",All,All postgraduate,Full-time,All,2020/21,1235.0,920.0,0.0,5.0,2155.0
84,"Agriculture, food and related studies",All,All postgraduate,Full-time,England,2017/18,875.0,540.0,,0.0,1415.0
85,"Agriculture, food and related studies",All,All postgraduate,Full-time,England,2018/19,860.0,545.0,,0.0,1405.0
86,"Agriculture, food and related studies",All,All postgraduate,Full-time,England,2019/20,780.0,545.0,,0.0,1330.0
87,"Agriculture, food and related studies",All,All postgraduate,Full-time,England,2020/21,945.0,660.0,0.0,0.0,1610.0
88,"Agriculture, food and related studies",All,All postgraduate,Full-time,Northern Ireland,2017/18,35.0,25.0,,0.0,60.0
89,"Agriculture, food and related studies",All,All postgraduate,Full-time,Northern Ireland,2018/19,45.0,20.0,,0.0,65.0
90,"Agriculture, food and related studies",All,All postgraduate,Full-time,Northern Ireland,2019/20,50.0,30.0,,0.0,80.0
91,"Agriculture, food and related studies",All,All postgraduate,Full-time,Northern Ireland,2020/21,55.0,30.0,0.0,0.0,85.0
92,"Agriculture, food and related studies",All,All postgraduate,Full-time,Scotland,2017/18,260.0,260.0,,0.0,520.0
93,"Agriculture, food and related studies",All,All postgraduate,Full-time,Scotland,2018/19,245.0,210.0,,0.0,460.0
94,"Agriculture, food and related studies",All,All postgraduate,Full-time,Scotland,2019/20,150.0,135.0,,0.0,285.0
95,"Agriculture, food and related studies",All,All postgraduate,Full-time,Scotland,2020/21,135.0,150.0,0.0,0.0,290.0
96,"Agriculture, food and related studies",All,All postgraduate,Full-time,Wales,2017/18,50.0,40.0,,0.0,95.0
97,"Agriculture, food and related studies",All,All postgraduate,Full-time,Wales,2018/19,50.0,35.0,,0.0,80.0
98,"Agriculture, food and related studies",All,All postgraduate,Full-time,Wales,2019/20,80.0,60.0,,0.0,140.0
99,"Agriculture, food and related studies",All,All postgraduate,Full-time,Wales,2020/21,95.0,75.0,0.0,0.0,170.0
100,"Agriculture, food and related studies",All,All postgraduate,Part-time,All,2017/18,980.0,575.0,,5.0,1560.0
101,"Agriculture, food and related studies",All,All postgraduate,Part-time,All,2018/19,1075.0,515.0,,5.0,1595.0
102,"Agriculture, food and related studies",All,All postgraduate,Part-time,All,2019/20,1030.0,510.0,,0.0,1540.0
103,"Agriculture, food and related studies",All,All postgraduate,Part-time,All,2020/21,1420.0,675.0,0.0,0.0,2100.0
104,"Agriculture, food and related studies",All,All postgraduate,Part-time,England,2017/18,550.0,265.0,,5.0,820.0
105,"Agriculture, food and related studies",All,All postgraduate,Part-time,England,2018/19,670.0,270.0,,0.0,940.0
106,"Agriculture, food and related studies",All,All postgraduate,Part-time,England,2019/20,660.0,315.0,,0.0,975.0
107,"Agriculture, food and related studies",All,All postgraduate,Part-time,England,2020/21,985.0,435.0,0.0,0.0,1425.0
108,"Agriculture, food and related studies",All,All postgraduate,Part-time,Northern Ireland,2017/18,60.0,30.0,,0.0,95.0
109,"Agriculture, food and related studies",All,All postgraduate,Part-time,Northern Ireland,2018/19,55.0,35.0,,0.0,90.0
110,"Agriculture, food and related studies",All,All postgraduate,Part-time,Northern Ireland,2019/20,65.0,20.0,,0.0,85.0
111,"Agriculture, food and related studies",All,All postgraduate,Part-time,Northern Ireland,2020/21,55.0,20.0,0.0,0.0,70.0
112,"Agriculture, food and related studies",All,All postgraduate,Part-time,Scotland,2017/18,270.0,155.0,,0.0,425.0
113,"Agriculture, food and related studies",All,All postgraduate,Part-time,Scotland,2018/19,265.0,130.0,,0.0,395.0
114,"Agriculture, food and related studies",All,All postgraduate,Part-time,Scotland,2019/20,210.0,105.0,,0.0,315.0
115,"Agriculture, food and related studies",All,All postgraduate,Part-time,Scotland,2020/21,265.0,110.0,0.0,0.0,375.0
116,"Agriculture, food and related studies",All,All postgraduate,Part-time,Wales,2017/18,100.0,125.0,,0.0,220.0
117,"Agriculture, food and related studies",All,All postgraduate,Part-time,Wales,2018/19,90.0,80.0,,0.0,170.0
118,"Agriculture, food and related studies",All,All postgraduate,Part-time,Wales,2019/20,95.0,75.0,,0.0,165.0
119,"Agriculture, food and related studies",All,All postgraduate,Part-time,Wales,2020/21,120.0,110.0,0.0,0.0,230.0
120,"Agriculture, food and related studies",All,All undergraduate,All,All,2017/18,9755.0,5275.0,,5.0,15035.0
121,"Agriculture, food and related studies",All,All undergraduate,All,All,2018/19,10620.0,5085.0,,10.0,15720.0
122,"Agriculture, food and related studies",All,All undergraduate,All,All,2019/20,8645.0,4710.0,,15.0,13365.0
123,"Agriculture, food and related studies",All,All undergraduate,All,All,2020/21,9410.0,4730.0,0.0,25.0,14170.0
124,"Agriculture, food and related studies",All,All undergraduate,All,England,2017/18,8010.0,4300.0,,5.0,12310.0
125,"Agriculture, food and related studies",All,All undergraduate,All,England,2018/19,8705.0,4090.0,,10.0,12805.0
126,"Agriculture, food and related studies",All,All undergraduate,All,England,2019/20,6815.0,3610.0,,5.0,10430.0
127,"Agriculture, food and related studies",All,All undergraduate,All,England,2020/21,7290.0,3555.0,0.0,15.0,10865.0
128,"Agriculture, food and related studies",All,All undergraduate,All,Northern Ireland,2017/18,190.0,135.0,,0.0,325.0
129,"Agriculture, food and related studies",All,All undergraduate,All,Northern Ireland,2018/19,240.0,120.0,,0.0,360.0
130,"Agriculture, food and related studies",All,All undergraduate,All,Northern Ireland,2019/20,145.0,70.0,,0.0,215.0
131,"Agriculture, food and related studies",All,All undergraduate,All,Northern Ireland,2020/21,220.0,85.0,0.0,0.0,305.0
132,"Agriculture, food and related studies",All,All undergraduate,All,Scotland,2017/18,910.0,490.0,,0.0,1400.0
133,"Agriculture, food and related studies",All,All undergraduate,All,Scotland,2018/19,970.0,545.0,,0.0,1515.0
134,"Agriculture, food and related studies",All,All undergraduate,All,Scotland,2019/20,1105.0,715.0,,5.0,1825.0
135,"Agriculture, food and related studies",All,All undergraduate,All,Scotland,2020/21,1285.0,800.0,0.0,5.0,2090.0
136,"Agriculture, food and related studies",All,All undergraduate,All,Wales,2017/18,650.0,350.0,,0.0,1000.0
137,"Agriculture, food and related studies",All,All undergraduate,All,Wales,2018/19,710.0,325.0,,0.0,1040.0
138,"Agriculture, food and related studies",All,All undergraduate,All,Wales,2019/20,575.0,310.0,,5.0,890.0
139,"Agriculture, food and related studies",All,All undergraduate,All,Wales,2020/21,615.0,290.0,0.0,5.0,910.0
140,"Agriculture, food and related studies",All,All undergraduate,Full-time,All,2017/18,8130.0,3555.0,,5.0,11695.0
141,"Agriculture, food and related studies",All,All undergraduate,Full-time,All,2018/19,8925.0,3440.0,,10.0,12380.0
142,"Agriculture, food and related studies",All,All undergraduate,Full-time,All,2019/20,7365.0,3285.0,,10.0,10660.0
143,"Agriculture, food and related studies",All,All undergraduate,Full-time,All,2020/21,7815.0,3475.0,0.0,20.0,11310.0
144,"Agriculture, food and related studies",All,All undergraduate,Full-time,England,2017/18,6570.0,2760.0,,5.0,9335.0
145,"Agriculture, food and related studies",All,All undergraduate,Full-time,England,2018/19,7225.0,2650.0,,5.0,9885.0
146,"Agriculture, food and related studies",All,All undergraduate,Full-time,England,2019/20,5750.0,2370.0,,5.0,8125.0
147,"Agriculture, food and related studies",All,All undergraduate,Full-time,England,2020/21,5910.0,2500.0,0.0,10.0,8425.0
148,"Agriculture, food and related studies",All,All undergraduate,Full-time,Northern Ireland,2017/18,185.0,125.0,,0.0,310.0
149,"Agriculture, food and related studies",All,All undergraduate,Full-time,Northern Ireland,2018/19,235.0,115.0,,0.0,345.0
