,Area,Study Year,Level,Mode,Country,Academic Year,Female,Male,Not known,Other,Total
8734,Education and teaching,First year,Other undergraduate,All,Scotland,2019/20,280.0,175.0,,10.0,465.0
8735,Education and teaching,First year,Other undergraduate,All,Scotland,2020/21,375.0,175.0,0.0,0.0,555.0
8736,Education and teaching,First year,Other undergraduate,All,Wales,2017/18,1450.0,645.0,,0.0,2095.0
8737,Education and teaching,First year,Other undergraduate,All,Wales,2018/19,1470.0,575.0,,0.0,2045.0
8738,Education and teaching,First year,Other undergraduate,All,Wales,2019/20,1155.0,470.0,,5.0,1625.0
8739,Education and teaching,First year,Other undergraduate,All,Wales,2020/21,1195.0,555.0,0.0,5.0,1755.0
8740,Education and teaching,First year,Other undergraduate,Full-time,All,2017/18,2835.0,670.0,,0.0,3505.0
8741,Education and teaching,First year,Other undergraduate,Full-time,All,2018/19,2410.0,495.0,,0.0,2905.0
8742,Education and teaching,First year,Other undergraduate,Full-time,All,2019/20,2095.0,630.0,,0.0,2730.0
8743,Education and teaching,First year,Other undergraduate,Full-time,All,2020/21,2300.0,860.0,0.0,0.0,3165.0
8744,Education and teaching,First year,Other undergraduate,Full-time,England,2017/18,2325.0,575.0,,0.0,2900.0
8745,Education and teaching,First year,Other undergraduate,Full-time,England,2018/19,1895.0,420.0,,0.0,2315.0
8746,Education and teaching,First year,Other undergraduate,Full-time,England,2019/20,1970.0,580.0,,0.0,2550.0
8747,Education and teaching,First year,Other undergraduate,Full-time,England,2020/21,2135.0,735.0,0.0,0.0,2875.0
8748,Education and teaching,First year,Other undergraduate,Full-time,Northern Ireland,2017/18,100.0,5.0,,0.0,105.0
8749,Education and teaching,First year,Other undergraduate,Full-time,Northern Ireland,2018/19,120.0,5.0,,0.0,125.0
8750,Education and teaching,First year,Other undergraduate,Full-time,Scotland,2017/18,200.0,25.0,,0.0,225.0
8751,Education and teaching,First year,Other undergraduate,Full-time,Scotland,2018/19,200.0,15.0,,0.0,220.0
8752,Education and teaching,First year,Other undergraduate,Full-time,Scotland,2019/20,10.0,10.0,,0.0,20.0
8753,Education and teaching,First year,Other undergraduate,Full-time,Scotland,2020/21,10.0,10.0,0.0,0.0,20.0
8754,Education and teaching,First year,Other undergraduate,Full-time,Wales,2017/18,205.0,70.0,,0.0,275.0
8755,Education and teaching,First year,Other undergraduate,Full-time,Wales,2018/19,200.0,50.0,,0.0,250.0
8756,Education and teaching,First year,Other undergraduate,Full-time,Wales,2019/20,115.0,45.0,,0.0,160.0
8757,Education and teaching,First year,Other undergraduate,Full-time,Wales,2020/21,150.0,115.0,0.0,0.0,270.0
8758,Education and teaching,First year,Other undergraduate,Part-time,All,2017/18,6420.0,2745.0,,0.0,9165.0
8759,Education and teaching,First year,Other undergraduate,Part-time,All,2018/19,5635.0,2400.0,,5.0,8040.0
8760,Education and teaching,First year,Other undergraduate,Part-time,All,2019/20,4890.0,2110.0,,15.0,7015.0
8761,Education and teaching,First year,Other undergraduate,Part-time,All,2020/21,3410.0,1295.0,0.0,10.0,4715.0
8762,Education and teaching,First year,Other undergraduate,Part-time,England,2017/18,3030.0,955.0,,0.0,3980.0
8763,Education and teaching,First year,Other undergraduate,Part-time,England,2018/19,2550.0,830.0,,0.0,3375.0
8764,Education and teaching,First year,Other undergraduate,Part-time,England,2019/20,2340.0,695.0,,0.0,3035.0
8765,Education and teaching,First year,Other undergraduate,Part-time,England,2020/21,1930.0,635.0,0.0,0.0,2570.0
8766,Education and teaching,First year,Other undergraduate,Part-time,Northern Ireland,2017/18,1870.0,1075.0,,0.0,2940.0
8767,Education and teaching,First year,Other undergraduate,Part-time,Northern Ireland,2018/19,1585.0,945.0,,0.0,2525.0
8768,Education and teaching,First year,Other undergraduate,Part-time,Northern Ireland,2019/20,1240.0,825.0,,0.0,2065.0
8769,Education and teaching,First year,Other undergraduate,Part-time,Northern Ireland,2020/21,75.0,55.0,0.0,0.0,125.0
8770,Education and teaching,First year,Other undergraduate,Part-time,Scotland,2017/18,280.0,145.0,,0.0,425.0
8771,Education and teaching,First year,Other undergraduate,Part-time,Scotland,2018/19,230.0,105.0,,5.0,340.0
8772,Education and teaching,First year,Other undergraduate,Part-time,Scotland,2019/20,270.0,165.0,,10.0,445.0
8773,Education and teaching,First year,Other undergraduate,Part-time,Scotland,2020/21,365.0,165.0,0.0,0.0,530.0
8774,Education and teaching,First year,Other undergraduate,Part-time,Wales,2017/18,1240.0,575.0,,0.0,1820.0
8775,Education and teaching,First year,Other undergraduate,Part-time,Wales,2018/19,1270.0,525.0,,0.0,1795.0
8776,Education and teaching,First year,Other undergraduate,Part-time,Wales,2019/20,1040.0,425.0,,5.0,1465.0
8777,Education and teaching,First year,Other undergraduate,Part-time,Wales,2020/21,1040.0,435.0,0.0,5.0,1485.0
8778,Education and teaching,First year,Postgraduate (research),All,All,2017/18,1095.0,535.0,,0.0,1635.0
8779,Education and teaching,First year,Postgraduate (research),All,All,2018/19,1130.0,570.0,,0.0,1700.0
8780,Education and teaching,First year,Postgraduate (research),All,All,2019/20,995.0,450.0,,0.0,1450.0
8781,Education and teaching,First year,Postgraduate (research),All,All,2020/21,1095.0,530.0,0.0,5.0,1625.0
8782,Education and teaching,First year,Postgraduate (research),All,England,2017/18,930.0,465.0,,0.0,1395.0
8783,Education and teaching,First year,Postgraduate (research),All,England,2018/19,975.0,510.0,,0.0,1485.0
8784,Education and teaching,First year,Postgraduate (research),All,England,2019/20,870.0,395.0,,0.0,1265.0
8785,Education and teaching,First year,Postgraduate (research),All,England,2020/21,945.0,455.0,0.0,0.0,1405.0
8786,Education and teaching,First year,Postgraduate (research),All,Northern Ireland,2017/18,20.0,5.0,,0.0,25.0
8787,Education and teaching,First year,Postgraduate (research),All,Northern Ireland,2018/19,15.0,5.0,,0.0,20.0
8788,Education and teaching,First year,Postgraduate (research),All,Northern Ireland,2019/20,10.0,5.0,,0.0,15.0
8789,Education and teaching,First year,Postgraduate (research),All,Northern Ireland,2020/21,15.0,0.0,0.0,0.0,15.0
8790,Education and teaching,First year,Postgraduate (research),All,Scotland,2017/18,115.0,55.0,,0.0,170.0
8791,Education and teaching,First year,Postgraduate (research),All,Scotland,2018/19,115.0,50.0,,0.0,165.0
8792,Education and teaching,First year,Postgraduate (research),All,Scotland,2019/20,90.0,35.0,,0.0,130.0
8793,Education and teaching,First year,Postgraduate (research),All,Scotland,2020/21,110.0,60.0,0.0,0.0,170.0
8794,Education and teaching,First year,Postgraduate (research),All,Wales,2017/18,30.0,10.0,,0.0,45.0
8795,Education and teaching,First year,Postgraduate (research),All,Wales,2018/19,20.0,10.0,,0.0,30.0
8796,Education and teaching,First year,Postgraduate (research),All,Wales,2019/20,25.0,15.0,,0.0,40.0
8797,Education and teaching,First year,Postgraduate (research),All,Wales,2020/21,25.0,15.0,0.0,0.0,40.0
8798,Education and teaching,First year,Postgraduate (research),Full-time,All,2017/18,490.0,180.0,,0.0,670.0
8799,Education and teaching,First year,Postgraduate (research),Full-time,All,2018/19,475.0,220.0,,0.0,695.0
8800,Education and teaching,First year,Postgraduate (research),Full-time,All,2019/20,435.0,170.0,,0.0,605.0
8801,Education and teaching,First year,Postgraduate (research),Full-time,All,2020/21,445.0,180.0,0.0,0.0,625.0
8802,Education and teaching,First year,Postgraduate (research),Full-time,England,2017/18,395.0,150.0,,0.0,545.0
8803,Education and teaching,First year,Postgraduate (research),Full-time,England,2018/19,400.0,190.0,,0.0,585.0
8804,Education and teaching,First year,Postgraduate (research),Full-time,England,2019/20,365.0,145.0,,0.0,515.0
8805,Education and teaching,First year,Postgraduate (research),Full-time,England,2020/21,375.0,150.0,0.0,0.0,525.0
8806,Education and teaching,First year,Postgraduate (research),Full-time,Northern Ireland,2017/18,15.0,5.0,,0.0,20.0
8807,Education and teaching,First year,Postgraduate (research),Full-time,Northern Ireland,2018/19,5.0,0.0,,0.0,10.0
8808,Education and teaching,First year,Postgraduate (research),Full-time,Northern Ireland,2019/20,10.0,5.0,,0.0,10.0
8809,Education and teaching,First year,Postgraduate (research),Full-time,Northern Ireland,2020/21,10.0,0.0,0.0,0.0,15.0
8810,Education and teaching,First year,Postgraduate (research),Full-time,Scotland,2017/18,70.0,25.0,,0.0,95.0
8811,Education and teaching,First year,Postgraduate (research),Full-time,Scotland,2018/19,65.0,25.0,,0.0,95.0
8812,Education and teaching,First year,Postgraduate (research),Full-time,Scotland,2019/20,50.0,15.0,,0.0,70.0
8813,Education and teaching,First year,Postgraduate (research),Full-time,Scotland,2020/21,55.0,25.0,0.0,0.0,80.0
8814,Education and teaching,First year,Postgraduate (research),Full-time,Wales,2017/18,10.0,0.0,,0.0,15.0
8815,Education and teaching,First year,Postgraduate (research),Full-time,Wales,2018/19,5.0,0.0,,0.0,5.0
8816,Education and teaching,First year,Postgraduate (research),Full-time,Wales,2019/20,5.0,10.0,,0.0,15.0
8817,Education and teaching,First year,Postgraduate (research),Full-time,Wales,2020/21,5.0,5.0,0.0,0.0,10.0
8818,Education and teaching,First year,Postgraduate (research),Part-time,All,2017/18,605.0,355.0,,0.0,960.0
8819,Education and teaching,First year,Postgraduate (research),Part-time,All,2018/19,655.0,350.0,,0.0,1005.0
8820,Education and teaching,First year,Postgraduate (research),Part-time,All,2019/20,560.0,280.0,,0.0,840.0
8821,Education and teaching,First year,Postgraduate (research),Part-time,All,2020/21,650.0,350.0,0.0,0.0,1000.0
8822,Education and teaching,First year,Postgraduate (research),Part-time,England,2017/18,535.0,310.0,,0.0,850.0
8823,Education and teaching,First year,Postgraduate (research),Part-time,England,2018/19,575.0,320.0,,0.0,900.0
8824,Education and teaching,First year,Postgraduate (research),Part-time,England,2019/20,500.0,250.0,,0.0,750.0
8825,Education and teaching,First year,Postgraduate (research),Part-time,England,2020/21,570.0,305.0,0.0,0.0,880.0
8826,Education and teaching,First year,Postgraduate (research),Part-time,Northern Ireland,2017/18,5.0,5.0,,0.0,10.0
8827,Education and teaching,First year,Postgraduate (research),Part-time,Northern Ireland,2018/19,10.0,0.0,,0.0,10.0
8828,Education and teaching,First year,Postgraduate (research),Part-time,Northern Ireland,2019/20,0.0,0.0,,0.0,5.0
8829,Education and teaching,First year,Postgraduate (research),Part-time,Northern Ireland,2020/21,0.0,0.0,0.0,0.0,0.0
8830,Education and teaching,First year,Postgraduate (research),Part-time,Scotland,2017/18,45.0,30.0,,0.0,75.0
8831,Education and teaching,First year,Postgraduate (research),Part-time,Scotland,2018/19,50.0,20.0,,0.0,70.0
8832,Education and teaching,First year,Postgraduate (research),Part-time,Scotland,2019/20,40.0,20.0,,0.0,60.0
8833,Education and teaching,First year,Postgraduate (research),Part-time,Scotland,2020/21,55.0,35.0,0.0,0.0,90.0
8834,Education and teaching,First year,Postgraduate (research),Part-time,Wales,2017/18,20.0,10.0,,0.0,30.0
8835,Education and teaching,First year,Postgraduate (research),Part-time,Wales,2018/19,20.0,10.0,,0.0,25.0
8836,Education and teaching,First year,Postgraduate (research),Part-time,Wales,2019/20,20.0,10.0,,0.0,25.0
8837,Education and teaching,First year,Postgraduate (research),Part-time,Wales,2020/21,20.0,10.0,0.0,0.0,30.0
8838,Education and teaching,First year,Postgraduate (taught),All,All,2017/18,34570.0,14200.0,,35.0,48805.0
8839,Education and teaching,First year,Postgraduate (taught),All,All,2018/19,35205.0,14340.0,,50.0,49595.0
8840,Education and teaching,First year,Postgraduate (taught),All,All,2019/20,35650.0,13620.0,,145.0,49415.0
8841,Education and teaching,First year,Postgraduate (taught),All,All,2020/21,40020.0,15655.0,0.0,75.0,55755.0
8842,Education and teaching,First year,Postgraduate (taught),All,England,2017/18,28785.0,11850.0,,25.0,40660.0
8843,Education and teaching,First year,Postgraduate (taught),All,England,2018/19,29245.0,12080.0,,25.0,41350.0
8844,Education and teaching,First year,Postgraduate (taught),All,England,2019/20,29130.0,11270.0,,125.0,40520.0
8845,Education and teaching,First year,Postgraduate (taught),All,England,2020/21,32965.0,13065.0,0.0,55.0,46085.0
8846,Education and teaching,First year,Postgraduate (taught),All,Northern Ireland,2017/18,620.0,300.0,,0.0,925.0
8847,Education and teaching,First year,Postgraduate (taught),All,Northern Ireland,2018/19,600.0,265.0,,0.0,865.0
8848,Education and teaching,First year,Postgraduate (taught),All,Northern Ireland,2019/20,610.0,280.0,,0.0,890.0
8849,Education and teaching,First year,Postgraduate (taught),All,Northern Ireland,2020/21,635.0,305.0,0.0,0.0,940.0
8850,Education and teaching,First year,Postgraduate (taught),All,Scotland,2017/18,4055.0,1475.0,,5.0,5535.0
8851,Education and teaching,First year,Postgraduate (taught),All,Scotland,2018/19,4300.0,1495.0,,25.0,5820.0
8852,Education and teaching,First year,Postgraduate (taught),All,Scotland,2019/20,4805.0,1575.0,,20.0,6395.0
8853,Education and teaching,First year,Postgraduate (taught),All,Scotland,2020/21,5000.0,1585.0,0.0,20.0,6600.0
8854,Education and teaching,First year,Postgraduate (taught),All,Wales,2017/18,1105.0,575.0,,0.0,1685.0
8855,Education and teaching,First year,Postgraduate (taught),All,Wales,2018/19,1055.0,495.0,,0.0,1555.0
8856,Education and teaching,First year,Postgraduate (taught),All,Wales,2019/20,1105.0,495.0,,0.0,1605.0
8857,Education and teaching,First year,Postgraduate (taught),All,Wales,2020/21,1425.0,705.0,0.0,0.0,2130.0
8858,Education and teaching,First year,Postgraduate (taught),Full-time,All,2017/18,21335.0,8270.0,,10.0,29620.0
8859,Education and teaching,First year,Postgraduate (taught),Full-time,All,2018/19,22925.0,8605.0,,15.0,31545.0
8860,Education and teaching,First year,Postgraduate (taught),Full-time,All,2019/20,23545.0,8410.0,,25.0,31980.0
8861,Education and teaching,First year,Postgraduate (taught),Full-time,All,2020/21,27685.0,10270.0,0.0,35.0,37990.0
8862,Education and teaching,First year,Postgraduate (taught),Full-time,England,2017/18,17760.0,7010.0,,10.0,24780.0
8863,Education and teaching,First year,Postgraduate (taught),Full-time,England,2018/19,19080.0,7370.0,,10.0,26465.0
8864,Education and teaching,First year,Postgraduate (taught),Full-time,England,2019/20,19235.0,7150.0,,20.0,26400.0
8865,Education and teaching,First year,Postgraduate (taught),Full-time,England,2020/21,22835.0,8780.0,0.0,25.0,31640.0
8866,Education and teaching,First year,Postgraduate (taught),Full-time,Northern Ireland,2017/18,330.0,115.0,,0.0,445.0
8867,Education and teaching,First year,Postgraduate (taught),Full-time,Northern Ireland,2018/19,315.0,100.0,,0.0,415.0
8868,Education and teaching,First year,Postgraduate (taught),Full-time,Northern Ireland,2019/20,330.0,95.0,,0.0,425.0
8869,Education and teaching,First year,Postgraduate (taught),Full-time,Northern Ireland,2020/21,325.0,100.0,0.0,0.0,420.0
8870,Education and teaching,First year,Postgraduate (taught),Full-time,Scotland,2017/18,2480.0,800.0,,0.0,3280.0
8871,Education and teaching,First year,Postgraduate (taught),Full-time,Scotland,2018/19,2810.0,830.0,,5.0,3645.0
8872,Education and teaching,First year,Postgraduate (taught),Full-time,Scotland,2019/20,3215.0,860.0,,5.0,4080.0
8873,Education and teaching,First year,Postgraduate (taught),Full-time,Scotland,2020/21,3565.0,930.0,0.0,10.0,4500.0
8874,Education and teaching,First year,Postgraduate (taught),Full-time,Wales,2017/18,765.0,350.0,,0.0,1115.0
8875,Education and teaching,First year,Postgraduate (taught),Full-time,Wales,2018/19,720.0,300.0,,0.0,1020.0
8876,Education and teaching,First year,Postgraduate (taught),Full-time,Wales,2019/20,765.0,305.0,,0.0,1075.0
8877,Education and teaching,First year,Postgraduate (taught),Full-time,Wales,2020/21,965.0,460.0,0.0,0.0,1430.0
8878,Education and teaching,First year,Postgraduate (taught),Part-time,All,2017/18,13235.0,5930.0,,20.0,19185.0
8879,Education and teaching,First year,Postgraduate (taught),Part-time,All,2018/19,12280.0,5735.0,,35.0,18050.0
8880,Education and teaching,First year,Postgraduate (taught),Part-time,All,2019/20,12105.0,5210.0,,120.0,17435.0
8881,Education and teaching,First year,Postgraduate (taught),Part-time,All,2020/21,12335.0,5390.0,0.0,40.0,17765.0
8882,Education and teaching,First year,Postgraduate (taught),Part-time,England,2017/18,11025.0,4835.0,,20.0,15880.0
8883,Education and teaching,First year,Postgraduate (taught),Part-time,England,2018/19,10165.0,4710.0,,15.0,14885.0
8884,Education and teaching,First year,Postgraduate (taught),Part-time,England,2019/20,9895.0,4120.0,,105.0,14120.0
8885,Education and teaching,First year,Postgraduate (taught),Part-time,England,2020/21,10130.0,4285.0,0.0,30.0,14445.0
8886,Education and teaching,First year,Postgraduate (taught),Part-time,Northern Ireland,2017/18,290.0,185.0,,0.0,480.0
8887,Education and teaching,First year,Postgraduate (taught),Part-time,Northern Ireland,2018/19,290.0,165.0,,0.0,455.0
8888,Education and teaching,First year,Postgraduate (taught),Part-time,Northern Ireland,2019/20,280.0,185.0,,0.0,470.0
8889,Education and teaching,First year,Postgraduate (taught),Part-time,Northern Ireland,2020/21,315.0,205.0,0.0,0.0,515.0
8890,Education and teaching,First year,Postgraduate (taught),Part-time,Scotland,2017/18,1575.0,680.0,,5.0,2260.0
8891,Education and teaching,First year,Postgraduate (taught),Part-time,Scotland,2018/19,1490.0,670.0,,20.0,2180.0
8892,Education and teaching,First year,Postgraduate (taught),Part-time,Scotland,2019/20,1590.0,710.0,,10.0,2315.0
8893,Education and teaching,First year,Postgraduate (taught),Part-time,Scotland,2020/21,1435.0,655.0,0.0,10.0,2100.0
8894,Education and teaching,First year,Postgraduate (taught),Part-time,Wales,2017/18,340.0,225.0,,0.0,570.0
8895,Education and teaching,First year,Postgraduate (taught),Part-time,Wales,2018/19,335.0,195.0,,0.0,530.0
8896,Education and teaching,First year,Postgraduate (taught),Part-time,Wales,2019/20,340.0,190.0,,0.0,530.0
8897,Education and teaching,First year,Postgraduate (taught),Part-time,Wales,2020/21,460.0,240.0,0.0,0.0,700.0
8898,Education and teaching,Other years,All,All,All,2017/18,49260.0,12150.0,,20.0,61435.0
8899,Education and teaching,Other years,All,All,All,2018/19,48630.0,11510.0,,35.0,60175.0
8900,Education and teaching,Other years,All,All,All,2019/20,42165.0,10640.0,,30.0,52835.0
8901,Education and teaching,Other years,All,All,All,2020/21,42510.0,10330.0,0.0,145.0,52985.0
8902,Education and teaching,Other years,All,All,England,2017/18,39420.0,9530.0,,10.0,48960.0
8903,Education and teaching,Other years,All,All,England,2018/19,38465.0,8875.0,,25.0,47365.0
8904,Education and teaching,Other years,All,All,England,2019/20,32920.0,8145.0,,15.0,41080.0
8905,Education and teaching,Other years,All,All,England,2020/21,33310.0,7985.0,0.0,115.0,41410.0
8906,Education and teaching,Other years,All,All,Northern Ireland,2017/18,1530.0,355.0,,0.0,1885.0
8907,Education and teaching,Other years,All,All,Northern Ireland,2018/19,1595.0,405.0,,0.0,1995.0
8908,Education and teaching,Other years,All,All,Northern Ireland,2019/20,1105.0,375.0,,0.0,1480.0
8909,Education and teaching,Other years,All,All,Northern Ireland,2020/21,1190.0,385.0,0.0,0.0,1575.0
8910,Education and teaching,Other years,All,All,Scotland,2017/18,5485.0,1475.0,,5.0,6965.0
8911,Education and teaching,Other years,All,All,Scotland,2018/19,5915.0,1520.0,,10.0,7445.0
8912,Education and teaching,Other years,All,All,Scotland,2019/20,5765.0,1540.0,,10.0,7315.0
8913,Education and teaching,Other years,All,All,Scotland,2020/21,5710.0,1370.0,0.0,25.0,7105.0
8914,Education and teaching,Other years,All,All,Wales,2017/18,2825.0,790.0,,0.0,3620.0
8915,Education and teaching,Other years,All,All,Wales,2018/19,2650.0,715.0,,0.0,3365.0
8916,Education and teaching,Other years,All,All,Wales,2019/20,2370.0,585.0,,0.0,2960.0
8917,Education and teaching,Other years,All,All,Wales,2020/21,2300.0,590.0,0.0,5.0,2895.0
8918,Education and teaching,Other years,All,Full-time,All,2017/18,27505.0,4765.0,,5.0,32275.0
8919,Education and teaching,Other years,All,Full-time,All,2018/19,27085.0,4485.0,,10.0,31580.0
8920,Education and teaching,Other years,All,Full-time,All,2019/20,23735.0,4095.0,,10.0,27840.0
8921,Education and teaching,Other years,All,Full-time,All,2020/21,24320.0,4075.0,0.0,20.0,28415.0
8922,Education and teaching,Other years,All,Full-time,England,2017/18,22540.0,3630.0,,5.0,26175.0
8923,Education and teaching,Other years,All,Full-time,England,2018/19,21935.0,3380.0,,5.0,25320.0
8924,Education and teaching,Other years,All,Full-time,England,2019/20,19040.0,3145.0,,10.0,22190.0
8925,Education and teaching,Other years,All,Full-time,England,2020/21,19315.0,3075.0,0.0,15.0,22405.0
8926,Education and teaching,Other years,All,Full-time,Northern Ireland,2017/18,905.0,200.0,,0.0,1110.0
8927,Education and teaching,Other years,All,Full-time,Northern Ireland,2018/19,905.0,215.0,,0.0,1120.0
8928,Education and teaching,Other years,All,Full-time,Northern Ireland,2019/20,630.0,180.0,,0.0,810.0
8929,Education and teaching,Other years,All,Full-time,Northern Ireland,2020/21,710.0,195.0,0.0,0.0,905.0
8930,Education and teaching,Other years,All,Full-time,Scotland,2017/18,2550.0,600.0,,0.0,3150.0
8931,Education and teaching,Other years,All,Full-time,Scotland,2018/19,2695.0,600.0,,5.0,3300.0
8932,Education and teaching,Other years,All,Full-time,Scotland,2019/20,2780.0,555.0,,5.0,3340.0
8933,Education and teaching,Other years,All,Full-time,Scotland,2020/21,3045.0,595.0,0.0,5.0,3640.0
8934,Education and teaching,Other years,All,Full-time,Wales,2017/18,1510.0,330.0,,0.0,1845.0
8935,Education and teaching,Other years,All,Full-time,Wales,2018/19,1550.0,290.0,,0.0,1840.0
8936,Education and teaching,Other years,All,Full-time,Wales,2019/20,1280.0,215.0,,0.0,1500.0
8937,Education and teaching,Other years,All,Full-time,Wales,2020/21,1255.0,210.0,0.0,0.0,1465.0
8938,Education and teaching,Other years,All,Part-time,All,2017/18,21760.0,7385.0,,15.0,29160.0
8939,Education and teaching,Other years,All,Part-time,All,2018/19,21540.0,7025.0,,25.0,28590.0
8940,Education and teaching,Other years,All,Part-time,All,2019/20,18430.0,6550.0,,15.0,24995.0
8941,Education and teaching,Other years,All,Part-time,All,2020/21,18190.0,6255.0,0.0,125.0,24570.0
8942,Education and teaching,Other years,All,Part-time,England,2017/18,16880.0,5900.0,,5.0,22785.0
8943,Education and teaching,Other years,All,Part-time,England,2018/19,16535.0,5495.0,,20.0,22045.0
8944,Education and teaching,Other years,All,Part-time,England,2019/20,13880.0,5000.0,,10.0,18890.0
8945,Education and teaching,Other years,All,Part-time,England,2020/21,13995.0,4910.0,0.0,100.0,19005.0
8946,Education and teaching,Other years,All,Part-time,Northern Ireland,2017/18,625.0,155.0,,0.0,780.0
8947,Education and teaching,Other years,All,Part-time,Northern Ireland,2018/19,690.0,185.0,,0.0,875.0
8948,Education and teaching,Other years,All,Part-time,Northern Ireland,2019/20,475.0,195.0,,0.0,670.0
8949,Education and teaching,Other years,All,Part-time,Northern Ireland,2020/21,480.0,185.0,0.0,0.0,665.0
8950,Education and teaching,Other years,All,Part-time,Scotland,2017/18,2935.0,875.0,,5.0,3815.0
8951,Education and teaching,Other years,All,Part-time,Scotland,2018/19,3220.0,920.0,,5.0,4145.0
8952,Education and teaching,Other years,All,Part-time,Scotland,2019/20,2985.0,985.0,,5.0,3975.0
8953,Education and teaching,Other years,All,Part-time,Scotland,2020/21,2665.0,780.0,0.0,20.0,3465.0
8954,Education and teaching,Other years,All,Part-time,Wales,2017/18,1315.0,460.0,,0.0,1775.0
8955,Education and teaching,Other years,All,Part-time,Wales,2018/19,1100.0,425.0,,0.0,1525.0
8956,Education and teaching,Other years,All,Part-time,Wales,2019/20,1090.0,365.0,,0.0,1460.0
8957,Education and teaching,Other years,All,Part-time,Wales,2020/21,1050.0,375.0,0.0,5.0,1430.0
8958,Education and teaching,Other years,All postgraduate,All,All,2017/18,14485.0,6725.0,,15.0,21225.0
8959,Education and teaching,Other years,All postgraduate,All,All,2018/19,14135.0,6450.0,,30.0,20615.0
8960,Education and teaching,Other years,All postgraduate,All,All,2019/20,13105.0,6295.0,,20.0,19415.0
8961,Education and teaching,Other years,All postgraduate,All,All,2020/21,13400.0,5935.0,0.0,115.0,19450.0
8962,Education and teaching,Other years,All postgraduate,All,England,2017/18,11450.0,5390.0,,5.0,16850.0
8963,Education and teaching,Other years,All postgraduate,All,England,2018/19,11050.0,5065.0,,20.0,16135.0
8964,Education and teaching,Other years,All postgraduate,All,England,2019/20,10125.0,4885.0,,10.0,15020.0
8965,Education and teaching,Other years,All postgraduate,All,England,2020/21,10350.0,4730.0,0.0,100.0,15180.0
8966,Education and teaching,Other years,All postgraduate,All,Northern Ireland,2017/18,395.0,160.0,,0.0,550.0
8967,Education and teaching,Other years,All postgraduate,All,Northern Ireland,2018/19,440.0,185.0,,0.0,625.0
8968,Education and teaching,Other years,All postgraduate,All,Northern Ireland,2019/20,410.0,200.0,,0.0,610.0
8969,Education and teaching,Other years,All postgraduate,All,Northern Ireland,2020/21,490.0,195.0,0.0,0.0,685.0
8970,Education and teaching,Other years,All postgraduate,All,Scotland,2017/18,2095.0,885.0,,5.0,2985.0
8971,Education and teaching,Other years,All postgraduate,All,Scotland,2018/19,2140.0,950.0,,10.0,3100.0
8972,Education and teaching,Other years,All postgraduate,All,Scotland,2019/20,2125.0,1000.0,,5.0,3135.0
8973,Education and teaching,Other years,All postgraduate,All,Scotland,2020/21,2055.0,785.0,0.0,15.0,2850.0
8974,Education and teaching,Other years,All postgraduate,All,Wales,2017/18,550.0,295.0,,0.0,845.0
8975,Education and teaching,Other years,All postgraduate,All,Wales,2018/19,500.0,245.0,,0.0,745.0
8976,Education and teaching,Other years,All postgraduate,All,Wales,2019/20,440.0,205.0,,0.0,650.0
8977,Education and teaching,Other years,All postgraduate,All,Wales,2020/21,505.0,225.0,0.0,0.0,730.0
8978,Education and teaching,Other years,All postgraduate,Full-time,All,2017/18,1745.0,730.0,,0.0,2475.0
8979,Education and teaching,Other years,All postgraduate,Full-time,All,2018/19,1900.0,780.0,,5.0,2685.0
8980,Education and teaching,Other years,All postgraduate,Full-time,All,2019/20,1830.0,865.0,,0.0,2695.0
8981,Education and teaching,Other years,All postgraduate,Full-time,All,2020/21,2240.0,820.0,0.0,5.0,3065.0
8982,Education and teaching,Other years,All postgraduate,Full-time,England,2017/18,1440.0,590.0,,0.0,2030.0
8983,Education and teaching,Other years,All postgraduate,Full-time,England,2018/19,1510.0,600.0,,0.0,2115.0
8984,Education and teaching,Other years,All postgraduate,Full-time,England,2019/20,1450.0,715.0,,0.0,2165.0
8985,Education and teaching,Other years,All postgraduate,Full-time,England,2020/21,1610.0,635.0,0.0,5.0,2245.0
8986,Education and teaching,Other years,All postgraduate,Full-time,Northern Ireland,2017/18,35.0,20.0,,0.0,55.0
8987,Education and teaching,Other years,All postgraduate,Full-time,Northern Ireland,2018/19,40.0,15.0,,0.0,50.0
8988,Education and teaching,Other years,All postgraduate,Full-time,Northern Ireland,2019/20,30.0,15.0,,0.0,45.0
8989,Education and teaching,Other years,All postgraduate,Full-time,Northern Ireland,2020/21,105.0,25.0,0.0,0.0,130.0
8990,Education and teaching,Other years,All postgraduate,Full-time,Scotland,2017/18,220.0,95.0,,0.0,315.0
8991,Education and teaching,Other years,All postgraduate,Full-time,Scotland,2018/19,270.0,140.0,,0.0,410.0
8992,Education and teaching,Other years,All postgraduate,Full-time,Scotland,2019/20,270.0,105.0,,0.0,375.0
8993,Education and teaching,Other years,All postgraduate,Full-time,Scotland,2020/21,385.0,120.0,0.0,0.0,505.0
8994,Education and teaching,Other years,All postgraduate,Full-time,Wales,2017/18,45.0,30.0,,0.0,75.0
8995,Education and teaching,Other years,All postgraduate,Full-time,Wales,2018/19,80.0,25.0,,0.0,110.0
8996,Education and teaching,Other years,All postgraduate,Full-time,Wales,2019/20,80.0,30.0,,0.0,115.0
